UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well),2013-01 Prod - Oil,2013-02 Prod - Oil,2013-03 Prod - Oil,2013-04 Prod - Oil,2013-05 Prod - Oil,2013-06 Prod - Oil,2013-07 Prod - Oil,2013-08 Prod - Oil,2013-09 Prod - Oil,2013-10 Prod - Oil,2013-11 Prod - Oil,2013-12 Prod - Oil,2014-01 Prod - Oil,2014-02 Prod - Oil,2014-03 Prod - Oil,2014-04 Prod - Oil,2014-05 Prod - Oil,2014-06 Prod - Oil,2014-07 Prod - Oil,2014-08 Prod - Oil,2014-09 Prod - Oil,2014-10 Prod - Oil,2014-11 Prod - Oil,2014-12 Prod - Oil,2015-01 Prod - Oil,2015-02 Prod - Oil,2015-03 Prod - Oil,2015-04 Prod - Oil,2015-05 Prod - Oil,2015-06 Prod - Oil,2015-07 Prod - Oil,2015-08 Prod - Oil,2015-09 Prod - Oil,2015-10 Prod - Oil,2015-11 Prod - Oil,2015-12 Prod - Oil,2016-01 Prod - Oil,2016-02 Prod - Oil,2016-03 Prod - Oil,2016-04 Prod - Oil,2016-05 Prod - Oil,2016-06 Prod - Oil,2016-07 Prod - Oil,2016-08 Prod - Oil,2016-09 Prod - Oil,2016-10 Prod - Oil,2016-11 Prod - Oil,2016-12 Prod - Oil,2017-01 Prod - Oil,2017-02 Prod - Oil,2017-03 Prod - Oil,2017-04 Prod - Oil,2017-05 Prod - Oil,2017-06 Prod - Oil,2017-07 Prod - Oil,2017-08 Prod - Oil,2017-09 Prod - Oil,2017-10 Prod - Oil,2017-11 Prod - Oil,2017-12 Prod - Oil,2013-01 Prod - Gas,2013-02 Prod - Gas,2013-03 Prod - Gas,2013-04 Prod - Gas,2013-05 Prod - Gas,2013-06 Prod - Gas,2013-07 Prod - Gas,2013-08 Prod - Gas,2013-09 Prod - Gas,2013-10 Prod - Gas,2013-11 Prod - Gas,2013-12 Prod - Gas,2014-01 Prod - Gas,2014-02 Prod - Gas,2014-03 Prod - Gas,2014-04 Prod - Gas,2014-05 Prod - Gas,2014-06 Prod - Gas,2014-07 Prod - Gas,2014-08 Prod - Gas,2014-09 Prod - Gas,2014-10 Prod - Gas,2014-11 Prod - Gas,2014-12 Prod - Gas,2015-01 Prod - Gas,2015-02 Prod - Gas,2015-03 Prod - Gas,2015-04 Prod - Gas,2015-05 Prod - Gas,2015-06 Prod - Gas,2015-07 Prod - Gas,2015-08 Prod - Gas,2015-09 Prod - Gas,2015-10 Prod - Gas,2015-11 Prod - Gas,2015-12 Prod - Gas,2016-01 Prod - Gas,2016-02 Prod - Gas,2016-03 Prod - Gas,2016-04 Prod - Gas,2016-05 Prod - Gas,2016-06 Prod - Gas,2016-07 Prod - Gas,2016-08 Prod - Gas,2016-09 Prod - Gas,2016-10 Prod - Gas,2016-11 Prod - Gas,2016-12 Prod - Gas,2017-01 Prod - Gas,2017-02 Prod - Gas,2017-03 Prod - Gas,2017-04 Prod - Gas,2017-05 Prod - Gas,2017-06 Prod - Gas,2017-07 Prod - Gas,2017-08 Prod - Gas,2017-09 Prod - Gas,2017-10 Prod - Gas,2017-11 Prod - Gas,2017-12 Prod - Gas,2013-01 Prod - Condensate,2013-02 Prod - Condensate,2013-03 Prod - Condensate,2013-04 Prod - Condensate,2013-05 Prod - Condensate,2013-06 Prod - Condensate,2013-07 Prod - Condensate,2013-08 Prod - Condensate,2013-09 Prod - Condensate,2013-10 Prod - Condensate,2013-11 Prod - Condensate,2013-12 Prod - Condensate,2014-01 Prod - Condensate,2014-02 Prod - Condensate,2014-03 Prod - Condensate,2014-04 Prod - Condensate,2014-05 Prod - Condensate,2014-06 Prod - Condensate,2014-07 Prod - Condensate,2014-08 Prod - Condensate,2014-09 Prod - Condensate,2014-10 Prod - Condensate,2014-11 Prod - Condensate,2014-12 Prod - Condensate,2015-01 Prod - Condensate,2015-02 Prod - Condensate,2015-03 Prod - Condensate,2015-04 Prod - Condensate,2015-05 Prod - Condensate,2015-06 Prod - Condensate,2015-07 Prod - Condensate,2015-08 Prod - Condensate,2015-09 Prod - Condensate,2015-10 Prod - Condensate,2015-11 Prod - Condensate,2015-12 Prod - Condensate,2016-01 Prod - Condensate,2016-02 Prod - Condensate,2016-03 Prod - Condensate,2016-04 Prod - Condensate,2016-05 Prod - Condensate,2016-06 Prod - Condensate,2016-07 Prod - Condensate,2016-08 Prod - Condensate,2016-09 Prod - Condensate,2016-10 Prod - Condensate,2016-11 Prod - Condensate,2016-12 Prod - Condensate,2017-01 Prod - Condensate,2017-02 Prod - Condensate,2017-03 Prod - Condensate,2017-04 Prod - Condensate,2017-05 Prod - Condensate,2017-06 Prod - Condensate,2017-07 Prod - Condensate,2017-08 Prod - Condensate,2017-09 Prod - Condensate,2017-10 Prod - Condensate,2017-11 Prod - Condensate,2017-12 Prod - Condensate,2013-01 Prod - BOE Prod,2013-02 Prod - BOE Prod,2013-03 Prod - BOE Prod,2013-04 Prod - BOE Prod,2013-05 Prod - BOE Prod,2013-06 Prod - BOE Prod,2013-07 Prod - BOE Prod,2013-08 Prod - BOE Prod,2013-09 Prod - BOE Prod,2013-10 Prod - BOE Prod,2013-11 Prod - BOE Prod,2013-12 Prod - BOE Prod,2014-01 Prod - BOE Prod,2014-02 Prod - BOE Prod,2014-03 Prod - BOE Prod,2014-04 Prod - BOE Prod,2014-05 Prod - BOE Prod,2014-06 Prod - BOE Prod,2014-07 Prod - BOE Prod,2014-08 Prod - BOE Prod,2014-09 Prod - BOE Prod,2014-10 Prod - BOE Prod,2014-11 Prod - BOE Prod,2014-12 Prod - BOE Prod,2015-01 Prod - BOE Prod,2015-02 Prod - BOE Prod,2015-03 Prod - BOE Prod,2015-04 Prod - BOE Prod,2015-05 Prod - BOE Prod,2015-06 Prod - BOE Prod,2015-07 Prod - BOE Prod,2015-08 Prod - BOE Prod,2015-09 Prod - BOE Prod,2015-10 Prod - BOE Prod,2015-11 Prod - BOE Prod,2015-12 Prod - BOE Prod,2016-01 Prod - BOE Prod,2016-02 Prod - BOE Prod,2016-03 Prod - BOE Prod,2016-04 Prod - BOE Prod,2016-05 Prod - BOE Prod,2016-06 Prod - BOE Prod,2016-07 Prod - BOE Prod,2016-08 Prod - BOE Prod,2016-09 Prod - BOE Prod,2016-10 Prod - BOE Prod,2016-11 Prod - BOE Prod,2016-12 Prod - BOE Prod,2017-01 Prod - BOE Prod,2017-02 Prod - BOE Prod,2017-03 Prod - BOE Prod,2017-04 Prod - BOE Prod,2017-05 Prod - BOE Prod,2017-06 Prod - BOE Prod,2017-07 Prod - BOE Prod,2017-08 Prod - BOE Prod,2017-09 Prod - BOE Prod,2017-10 Prod - BOE Prod,2017-11 Prod - BOE Prod,2017-12 Prod - BOE Prod
100112607323W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,636.5,636.5,-113.43127,55.352564,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100093107324W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,565,565,-113.679664,55.369891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100113207324W400,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,599,599,-113.665375,55.366968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100113207324W402,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,599,599,-113.665375,55.366968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100113207324W403,Bitumen,Marten Hills,Clearwater Undefined,McMurray,Pumping,Active,599,599,-113.665375,55.366968,0.79,4.686915484,4.155760714,1.947809032,4.360928,3.895618065,3.35456,3.895618065,2.921713548,4.067404,3.307217419,2.30626,0,0,3.369535714,0.020289677,1.027334,4.098514839,5.954344,2.942003226,1.907229677,0,0,0,0,,,,0,0,4.84,1.01,1.44,3.14,2.72,2.85,,,,,,,,,,,,0,0,0,4.31,6.33,5.03,3.57,3.52,0.41,0.89,1.51,1.46,1.68,0.81,0.000113919,0.000126124,0.000113919,0.000117716,0.000113919,0.000117716,0.000113919,0.000113919,0.000117716,0.000113919,0,0,0,0.000126124,0.000113919,0.000117716,0.000113919,0.000117716,0.000113919,0.000113919,0,0,0,0,,,,0,0,0.0001,0.0001,0.0001,0.0001,0.0013,0.0001,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.705901935,4.176781429,1.966795484,4.380547333,3.914604516,3.374179333,3.914604516,2.9407,4.087023333,3.326203871,2.30626,0,0,3.390556429,0.039276129,1.046953333,4.11750129,5.973963333,2.960989677,1.926216129,0,0,0,0,,,,0,0,4.86,1.03,1.46,3.16,2.93,2.87,,,,,,,,,,,,0,0,0,4.31,6.33,5.03,3.57,3.52,0.41,0.89,1.51,1.46,1.68,0.81
100011607325W400,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,594,588.76,-113.776619,55.318591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100011607325W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,594,588.76,-113.776619,55.318591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100011607325W403,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,594,588.76,-113.776619,55.318591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100011607325W404,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,594,588.76,-113.776619,55.318591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100122207325W400,Gas,Marten Hills,Wabiskaw CC,Paleozoic,Flowing,Active,621,621,-113.769683,55.337387,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117222352,0.210879806,0.173839951,0.161153204,0.15276499,0.134902536,0.116311003,0.107653181,0.092760208,0.052402606,0.055561952,0.045681403,0.160511462,0.036323794,0.070515681,0.1706882,0.167802259,0.163860672,0.138297314,0.1557,0.1483,0.152,0.1387,0,0.0513,0.1198,0.1754,0.1803,0.1695,0.1607,0.1602,0.1573,0.1503,0.149,0.1495,0.1382,0.1564,0.1465,0.1464,0.1355,0.1197,0.1423,0.152,0.145,0.1428,0.1381,0.1381,0.1293,0.0911,0.0513,0.0613,0.1197,0.1342,0.1231,0.0992,0.1065,0.1112,0.1085,0.0498,0.1122,0,0.022463571,0,0,0,0,0,0,0,0,0,0,0,0.044927143,0.040579355,0,0,0,0.040579355,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.3,,,,,,,,,,19.53705871,35.16909786,28.97332516,26.85886733,25.46083161,22.483756,19.3851671,17.94219677,15.46003467,8.733767742,9.260325333,7.613567097,26.75191032,6.098892857,11.7931929,28.44803333,27.96704323,27.310112,23.09013161,25.95,24.72,25.33,23.11,0,8.54,19.97,29.24,30.06,28.25,26.78,26.69,26.22,25.05,24.83,24.92,23.03,26.07,24.42,24.4,22.58,19.95,23.72,25.33,24.17,23.8,23.01,23.01,21.55,15.19,8.56,10.52,19.95,22.37,20.52,16.54,17.75,18.54,18.08,8.3,18.7
100122207325W402,Unspecified,Marten Hills,Unspecified,Paleozoic,Drilled And Cased,Standing Cased,621,621,-113.769683,55.337387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
