UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well)
100112607323W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,636.5,636.5,-113.43127,55.352564,0
100093107324W400,Bitumen,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,565,565,-113.679664,55.369891,0
100113207324W400,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,599,599,-113.665375,55.366968,0
100113207324W402,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,599,599,-113.665375,55.366968,0
100113207324W403,Bitumen,Marten Hills,Clearwater Undefined,McMurray,Pumping,Active,599,599,-113.665375,55.366968,0.79
100011607325W400,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,594,588.76,-113.776619,55.318591,0
100011607325W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,594,588.76,-113.776619,55.318591,0
100011607325W403,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,594,588.76,-113.776619,55.318591,0
100011607325W404,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,594,588.76,-113.776619,55.318591,0
100122207325W400,Gas,Marten Hills,Wabiskaw CC,Paleozoic,Flowing,Active,621,621,-113.769683,55.337387,3.44
100122207325W402,Unspecified,Marten Hills,Unspecified,Paleozoic,Drilled And Cased,Standing Cased,621,621,-113.769683,55.337387,0
100122207325W403,Unspecified,Marten Hills,Unspecified,Paleozoic,Drilled And Cased,Standing Cased,621,621,-113.769683,55.337387,0
100153107325W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,642.3,605.39,-113.836738,55.373365,0
100153107325W402,Gas,Marten Hills,Grand Rapids KK,Wabiskaw,Flowing,Active,642.3,605.39,-113.836738,55.373365,0
100053407325W400,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,602,602,-113.769758,55.363911,0
100053407325W402,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,602,602,-113.769758,55.363911,0
102053407325W400,Gas,Marten Hills,Commingled Pool 014,Wabiskaw,Suspended,Suspended,489,489,-113.769879,55.363864,0
102053407325W402,Gas,Marten Hills,Commingled Pool 013,Wabiskaw,Suspended,Suspended,489,489,-113.769879,55.363864,0
100153407325W400,Gas,Marten Hills,Wabiskaw O,Unspecified,Suspended,Suspended,652,652,-113.757386,55.370396,0
100083507325W400,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,579,579,-113.727944,55.365779,0
100083507325W402,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Flowing,Active,579,579,-113.727944,55.365779,0.73
102083507325W400,Gas,Marten Hills,Commingled Pool 012,Wabiskaw,Suspended,Suspended,576,576,-113.728179,55.365791,0
102083507325W402,Gas,Marten Hills,Commingled Pool 011,Wabiskaw,Suspended,Suspended,576,576,-113.728179,55.365791,0
100113507326W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,615.7,615.7,-113.893575,55.367838,0
100012607301W500,Disposal - Water,Marten Hills,Wabiskaw Undefined,Wabamun,Suspended,Suspended,624,624,-114.029075,55.347729,0
100083607301W500,Gas,Marten Hills,Grand Rapids E7E,Wabamun,Suspended,Suspended,630,630,-114.002119,55.365919,0
100083607301W502,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,630,630,-114.002119,55.365919,0
100150607423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,602,602,-113.530654,55.386959,0
100150607423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Flowing,Active,602,602,-113.530654,55.386959,1.86
102150607423W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,549.5,549.5,-113.531138,55.386169,0
102150607423W402,Gas,Marten Hills,Commingled Pool 023,Wabiskaw,Flowing,Active,549.5,549.5,-113.531138,55.386169,0.04
100150707423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,597,578.97,-113.527713,55.4016,0
100150707423W402,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,597,578.97,-113.527713,55.4016,0
102150707423W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,668,544.77,-113.529724,55.401425,3.85
100121807423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,642,570.45,-113.547812,55.41154,0
100121807423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,642,570.45,-113.547812,55.41154,0
100132107423W400,Disposal - Water,Marten Hills,Commingled Pool 001,McMurray,Suspended,Suspended,644,644,-113.488696,55.428244,0
100112807423W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,638.6,638.6,-113.482195,55.441485,0
100112807423W402,Gas,Marten Hills,Clearwater Undefined,Unspecified,Suspended,Suspended,638.6,638.6,-113.482195,55.441485,0
100122907423W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,632,632,-113.518126,55.442294,0
100122907423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Flowing,Active,632,632,-113.518126,55.442294,6.64
100122907423W403,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,632,632,-113.518126,55.442294,0
100133007423W403,Gas,Marten Hills,Commingled Pool 023,Wabamun,Flowing,Active,627.5,627.5,-113.540624,55.443412,3.98
100103107423W402,Gas,Marten Hills,Commingled Pool 023,Unspecified,Suspended,Suspended,630.9,630.9,-113.529006,55.455363,0
100103107423W403,Unspecified,Marten Hills,Unspecified,Unspecified,Drilled And Cased,Standing Cased,630.9,630.9,-113.529006,55.455363,0
102103107423W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,633,633,-113.529111,55.455388,0
102103107423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,633,633,-113.529111,55.455388,0
100123207423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,629.6,629.6,-113.518377,55.453621,0
100123207423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Flowing,Active,629.6,629.6,-113.518377,55.453621,4.07
102123207423W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,733,623.12,-113.518385,55.452596,9.16
100113307423W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Suspended,Suspended,697,649.79,-113.484696,55.453736,0
100110107424W400,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,601.6,542.48,-113.560929,55.382149,0
100110107424W402,Gas,Marten Hills,Colony Undefined,Wabiskaw,Suspended,Suspended,601.6,542.48,-113.560929,55.382149,0
100110107424W403,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,601.6,542.48,-113.560929,55.382149,0
100090407424W403,Gas,Marten Hills,Commingled Pool 026,Wabamun,Flowing,Active,583,583,-113.62395,55.38341,0.43
100090407424W404,Gas,Marten Hills,Grand Rapids B4B,Wabamun,Flowing,Active,583,583,-113.62395,55.38341,3.09
102090407424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,578,578,-113.624203,55.383394,0
102090407424W402,Gas,Marten Hills,Commingled Pool 026,Wabamun,Suspended,Suspended,578,578,-113.624203,55.383394,0
102090407424W403,Gas,Marten Hills,Commingled Pool 026,Wabamun,Flowing,Active,578,578,-113.624203,55.383394,0.14
102090407424W404,Gas,Marten Hills,Grand Rapids B4B,Wabamun,Suspended,Suspended,578,578,-113.624203,55.383394,0
100120607424W400,Gas,Marten Hills,Commingled Pool 024,McMurray,Suspended,Suspended,611.5,611.5,-113.694497,55.382792,0
100120607424W402,Gas,Marten Hills,Commingled Pool 015,McMurray,Suspended,Suspended,611.5,611.5,-113.694497,55.382792,0
100120607424W403,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,611.5,611.5,-113.694497,55.382792,0
100120607424W404,Gas,Marten Hills,Clearwater D2D,McMurray,Flowing,Active,611.5,611.5,-113.694497,55.382792,8.15
100100907424W402,Gas,Marten Hills,Grand Rapids P2P,Wabamun,Suspended,Suspended,596,596,-113.629435,55.397964,0
102100907424W404,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,664,566.73,-113.630888,55.397722,0
102100907424W405,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,664,566.73,-113.630888,55.397722,0
102100907424W406,Gas,Marten Hills,Viking M,Wabiskaw,Flowing,Active,664,566.73,-113.630888,55.397722,0.11
100091107424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,549.6,549.6,-113.575762,55.397908,0
102091107424W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,643,544.43,-113.578146,55.397893,4.38
100101307424W400,Unspecified,Marten Hills,Unspecified,Unspecified,Drilled And Cased,Standing Cased,597.4,597.4,-113.554676,55.411706,0
100101307424W402,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,597.4,597.4,-113.554676,55.411706,10.84
100071407424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Pumping,Active,589,589,-113.581137,55.408087,4.05
100121607424W400,Gas,Marten Hills,Commingled Pool 026,Wabamun,Suspended,Suspended,631,631,-113.64377,55.412178,0
100121607424W402,Gas,Marten Hills,Commingled Pool 026,Wabamun,Suspended,Suspended,631,631,-113.64377,55.412178,0
102121607424W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,594.8,594.8,-113.643776,55.411435,0
100162007424W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,615,615,-113.652669,55.428909,0.6
100162107424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,585.2,585.2,-113.62393,55.430057,2.41
100062207424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,614.8,614.8,-113.612298,55.423005,5.39
100092207424W400,Gas,Marten Hills,Grand Rapids C4C,Mannville,Pumping,Active,486,486,-113.601055,55.424709,0.09
100042307424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,636.4,636.4,-113.593758,55.420545,0
100042307424W402,Disposal - Water,Marten Hills,Commingled Pool 001,Unspecified,Not Applicable,Active,636.4,636.4,-113.593758,55.420545,0
100042407424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,609.1,609.1,-113.566076,55.419352,0
100042507424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,619,619,-113.566795,55.433987,2.27
100152507424W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,517,517,-113.553712,55.443491,0
100152507424W402,Gas,Marten Hills,Colony Undefined,Wabamun,Suspended,Suspended,517,517,-113.553712,55.443491,0
100042607424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,587.7,587.7,-113.593409,55.434103,3.59
100062707424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,602,602,-113.613808,55.436434,2.91
100102807424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,615.1,615.1,-113.630992,55.440587,6.97
100092907424W400,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,475,475,-113.651067,55.439851,0
100162907424W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,605,605,-113.652685,55.443359,0.05
100013007424W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,616.3,616.3,-113.67585,55.434087,0
100013007424W402,Gas,Marten Hills,Commingled Pool 001,Wabamun,Flowing,Active,616.3,616.3,-113.67585,55.434087,1.15
100013007424W403,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,616.3,616.3,-113.67585,55.434087,0
100103207424W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,623.9,623.9,-113.656992,55.455556,0
100103207424W402,Gas,Marten Hills,Clearwater Undefined,Unspecified,Suspended,Suspended,623.9,623.9,-113.656992,55.455556,0
100103207424W403,Gas,Marten Hills,Commingled Pool 026,Unspecified,Flowing,Active,623.9,623.9,-113.656992,55.455556,0.63
100143207424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,610,610,-113.661147,55.457935,0
100143207424W402,Gas,Marten Hills,Commingled Pool 026,Wabamun,Suspended,Suspended,610,610,-113.661147,55.457935,0
102143207424W400,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,593.8,593.8,-113.661581,55.457935,0
102143207424W402,Gas,Marten Hills,Commingled Pool 026,Wabiskaw,Suspended,Suspended,593.8,593.8,-113.661581,55.457935,0
102143207424W403,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,593.8,593.8,-113.661581,55.457935,0
100073307424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Flowing,Active,611,611,-113.631536,55.451926,2.59
100103407424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,608,608,-113.607534,55.455423,0
100103407424W402,Gas,Marten Hills,Grand Rapids M2M,Wabamun,Suspended,Suspended,608,608,-113.607534,55.455423,0
102103407424W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,659,583.53,-113.605669,55.455441,5.77
100033507424W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,625,625,-113.586357,55.448542,0
100033507424W402,Gas,Marten Hills,Commingled Pool 008,Wabamun,Flowing,Active,625,625,-113.586357,55.448542,1.76
100033507424W403,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,625,625,-113.586357,55.448542,0
102033507424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,591,591,-113.586069,55.448542,0
100103607424W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Flowing,Active,606,606,-113.552338,55.453888,0.27
100103607424W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,606,606,-113.552338,55.453888,0
100130407425W400,Gas,Marten Hills,Commingled Pool 024,Wabamun,Suspended,Suspended,594,594,-113.800777,55.386319,0
100130407425W402,Gas,Marten Hills,Commingled Pool 024,Wabamun,Suspended,Suspended,594,594,-113.800777,55.386319,0
100110507425W402,Gas,Marten Hills,Grand Rapids Undefined,Unspecified,Suspended,Suspended,595.9,595.9,-113.817499,55.383019,0
100020607425W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,609,609,-113.83671,55.3767,0
100020607425W402,Gas,Marten Hills,Grand Rapids KK,Wabiskaw,Suspended,Suspended,609,609,-113.83671,55.3767,0
100020607425W403,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,609,609,-113.83671,55.3767,0
100020807425W402,Gas,Marten Hills,Commingled Pool 024,Wabamun,Suspended,Suspended,584.6,584.6,-113.811549,55.390998,0
100050907425W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,583.5,583.5,-113.797425,55.395109,0
